id,comments,star_level
1,景区没有停车场，公交送上来后，下去的班车就少了，景区环境较差。玻璃栈道也蛮短的，不介意来。,0
2,同程旅游买票是方便，景点好差，没有指示牌要走回头路，门票又贵，一个玻璃桥要168元，景点里面又没有工作人员问一下路都没人问，总之差差差o,0
3,景色一般玩的也少去玩的人也少,3
4,景区才158的门票，也不好玩,0
5,"景区环境好,订票方便,美食多,",5
6,交通不方便，需要走路走5公里才能到景区大门！拿门票不便捷！景区环境卫生差！,0
7,没有规划好！路上都堵车！没有提前预判交通！卫生没有做到位！在景区里面还安装什么坐便器？不卫生！,0
8,同程全票168元和在现场买到玻璃天桥栈道153元比完全没优势，因为只要买153到就可以游玩全部，这不是坑人吗？,0
9,好玩，特别是玻璃栈道很刺激，孩子们很兴奋,5
10,太累了 没有想象中那么好,0
11,取票取一小时  玻璃栈道很短,0
12,好好的好好看看好好,5
13,大家吐槽最多的进景区的路在修，不过已经比之前好走多了，这路要是修好了，去的人可就多了，因为交通真的挺方便的，一路高速，一段平坦无比的省道，而且进景区的路设计得也很宽敞。        景区风景真的很美，从登山道（右分叉，路牌直指天门洞）上山走得辛苦些，沿途的景致也比较少，登顶的天门洞有点意思。景点主要分布在下山道，道路比较缓（天门洞下到葫芦瀑布一段除外，这一段，陡），葫芦瀑布，地下河，水滩，还有大大小小、水量丰富的瀑布，水十分清澈，真是令人不得不赞叹大自然的鬼斧神工。        我们四个人，全程6小时，包括赏景、小憩和午餐。景区内设施一般，小卖部只有两个，但价格不离谱，洗手间倒是足够。景区里有个娱乐项目叫“水滑”，形式参考贵安水世界，一人88元，军人、教师、老人可以凭证优惠。,5
14,景区里面挺好，山清水秀，空气新鲜人又少，适合游玩但是过去的交通真心不方便永泰县到天门山3路下车后到景点有七八公里路要走，一路飞尘满天可以打车或者坐摩的，但司机漫天要价摩的单程一人35起价从景区出来大约四点多吧稍微有点晚了，到公交站点是连摩的也打不到的，要么步行，要么拦个顺路车付钱请人家载到公交站同程买票后至少半小时才能去换票,5
15,只能说一般般的景点，没什么震撼人心的景色，就是不停的爬山。天门洞实在是太不壮观了，要不是别人解释，我都没发现已经在天门洞里了，要知道这样我也不花几个小时爬上山顶，要说比较好看的景点就是葫芦瀑布了。还有就是有水滑道还是满有意思的。补充一下景区里面一个配套服务点都没有，要做足准备，不然可没地方买水买食品,3
16,自驾游可以考虑去，不然还要做摩的来回。途中风景还可以，路途遥远不适合老人游玩。里面专设烧烤的地方可以自带烧烤工具去。自带吃的东西，景区门口旁边只有便利店。总结：喜欢大自然的可以考虑去。,3
17,天门山不错。门口一个小卖部，还有水滑也挺新鲜，小孩老公玩的都挺开心。里面空气很好，攀登不错，景区游人挺多。上山路挺好走,5
18,很好玩，景色优美，景区很大，四个多小时还没完全逛完,5
19,好难爬，景色不是很好看，最好栈道哪边，同程网购票取票，挺方便的很快。,3
20,同程取票很方便，天门山景色不错。就是爬山太累了，全程六七个小时，注意景点里面没有小卖部。还好吃的东西全部带了。,5
21,在同程购票，很方便，推荐了。福州去天门山行程不远，才50多公里，一个多小时的车程。上山的时候，顺着指示牌，走远道，绕圈下山后，证明选择是对的。爬到天门，天门很状观，就是山上的方便面太贵，一碗12元！下山途经葫芦瀑布，我看到的第三状观的瀑布，去天门山的，千万别忘了去欣赏。,5
22,在网上预订的门票，到景点只要报个名字，就可以购买了，很方便。快到景区那段路很难走，景点太少，没什么特色，走一圈走了4个小时，没有一定的体力还真不行。,5
23,漂流一小时多就是不够刺激 那边店吃的很少很偏 偏的让人恼火只能吃泡面,5
24,性价比太低了，什麽都要收费，包含接送旅客都要收费，建议如果去漂流的话应该去赤壁，相对服务比较好,3
25,国庆期间和朋友一起去的，有点遗憾的是，整个游玩路线我们只走了一半，建议自助游的朋友早上需要早一点出发，我们先走的是千米栈道，一路清澈的溪水、瀑布、清新的空气、明媚的阳光，好不惬意，直到后来慢慢开始走上台阶，俨然没有风景就剩登山了。路遇一导游，建议我们还是原路返回终点，不然爬到顶端天门洞再下山就要天黑了。大家只好遗憾而返。本想在景区门口的服务区吃农家乐，但是听说淡季就关门不做了，貌似吃的只有山下一个小卖部，主食只有碗面。还是自备些干粮吧。 ,5
26,俩小宝贝顺利步行整个山顶景点，为宝贝点赞🌷🌷,5
27,环境很美，空气清新，很值得去的地方，其实觉得不管去哪里玩，都很值得，多出去走走，总是好的，世界那么大，那么美，总有不一样的收获,5
28,景区风景不错，清新的空气，凉爽的风，是夏天的好去处，只是通往景区的一段公路还在修建中不好行驶。,5
29,观赏骆驼峰、情侣鸳鸯、三叠飞泉、溪底岩石、双溪河神;而后观赏刺桫椤、万象戏水、万石飞瀑。午后游览天门洞景：观赏奇峰怪石（望夫岩、飞来石、佛光岩、滴水岩等）；观赏形态各异的飞流瀑布（百米水帘、天涯瀑布等）。游览神奇雄伟的天门洞及签灵梦真的观音洞。休息片刻后游览天然石龙、天门峡谷、神仙下棋等景点和地下河景片：天然桫椤园，千年古藤等。随后赴巧夺天工的葫芦瀑布及燕潭瀑布；游览神秘莫测的地下河，万年石乳并观赏灵龟戏石、济公帽、神龙滩、幽幽谷等景观。,5
30,那个路呀，快快修复，开的我们小伙伴都好心疼车车的轮胎。那个景区呀，全程走了5个小时，居然没有一处有卖水的，口渴得不得了。还有园区内景点的维护，指示牌的美化…都需要进一步整改提高完善。,5
31,上周六（台风外围天气）进入天门山景区，空气相当好、水也清澈，运气也不错居然与几群猴子相遇。,5
32,去的有点晚，往大门漂流起点进去的这边貌似没有什么好景点！建议往那边进去，这边路又不好走！,5
33,不错就是路太滑.没修理就要先为什么要是好像很久了。我的心情了？我是你就可以接受你的时候了、一起玩玩玩玩玩玩玩玩玩玩玩玩玩玩玩玩玩笑都江堰的确不能吃饱就业服务业和谐社会保障制度建设入手吧？！你是我的,5
34,爬山涉水登高，地下河~葫芦瀑布~天门洞，相当于青龙瀑布再加个鼓山,5
35,周六早八点一家四人自驾出游，十点进入景区，下午16：58出来，总的来说风景不错，有几个形态各异的瀑布，水很清，很原生态，就是登山，人很稀少，但到山顶看到巨大的石天门还是值得的。,5
36,景色迷人，去上山的路也很好👍就是山上没有小卖部什么东西都没有这个要加强、路标也不多只有一条道全程要5小时比较累。,3
37,上山有点陡，景点不错，瀑布特别好看，溪里有好多鱼,5
38,路况不好偏，灰尘满天飞，去的时候，车子是白的，回来时变黄了，但山上风景不错，不挤，车滑是一种享受！下次记得代捞埽来捉鱼！,5
39,景点相当不错！贴近自然，民风淳朴，当地人热情友善，印象深刻，值得推荐。令人遗憾的是同程优惠无效。工作人员解释：同程并未与该景区有任何协议。,5
40,路程比较远，全程走下来，可能近5个小时，要有比较好的体力。但是风景，很好，恰好游玩的前几天下了雨，所以去的时候，瀑布水很大，很美,5
41,空气好，两个家庭来玩，来回走了四个小时，只走了一半的景点。还是不错的。,5
42,走的时候在修路，不过风景真不错，值得推荐。,5
43,挺美的~风景秀丽，建议一早去，景区比较多，可以慢慢逛，慢慢玩。,5
44,很不错的漂流，整体不会太刺激或者太无聊，时间也差不多刚刚好,5
45,"景色还不错,游玩的人不多,清静,爬上峰顶还是有点累",5
46,实话说，爬这个山挺累的。附近也在修路，路况很差,5
47,玩得很高兴，景区服务态度很好，第一次用同程订票，好用。,5
48,景点少，上下山用了五个小时，不适合带老人同行。,5
49,不错总体还行吧，国庆到那烧烤都没人，我们一家直接包场！,3
50,地下河很特别，就是到天门洞脚有点受累。风景不错。。,5
51,到售票点工作人员找不到我预定的名字，但最后还是按同程的优惠价结算，可只开张收据，不给门票,3
52,有山有水有风景，，，,5
53,同程取票很方便，天门山景色也不错，非常原始和自然，主要我们这次运气好的是看到了一群野猴子，玩的不错，赞一个,5
54,刚洗的车呢，还在修路，前年就开始修了。汗！才爬一小段就回了，没什么好看是。,3
55,风景不错，只是路较难走，灰尘满天飞，可能是枯水季节，没看到瀑布，不过挺开心的，就当登山锻炼。,5
56,网络购票方便且便宜，漂流路线长，要2个小时，一路惊险刺激，大人小孩都喜欢,5
57,目前整条上山的道路处于翻修阶段，车的底盘不知被撞了多少次，还会打滑，据说元旦才能修好，建议大家为了安全，还是等路修好了再去吧,0
58,今天10月3日，离景区还有五六公里，一路车堵在路上，没办法进去，果断回头，等非节假日再去了……唉～～,0
59,山好，水好，景色好棒，尤其几点瀑布好漂亮，尤其葫芦瀑布一级棒，还有,5
60,空气好，两个家庭来玩，来回走了四个小时，只走了一半的景点。还是不错的。,5
61,购票很方便，同程下单直接窗口可以打票。去天门山在永泰汽车站门口有固定的16路公交车按照固定时间发车。总的来讲景区景色一般，适合周末出行逛逛。玻璃栈道加玻璃桥长度在200米左右，票价需要150多。如果不走玻璃桥那门票只要35。爬到山顶的天门洞还是挺累人的，需要补充好体力。公交车时刻表提供给大家，以便出行。,3
62,去了天门山很不错，体验了玻璃栈道的刺激，同程买票很方便去售票外报下入园辅助码给工作人员就会拿票给我们，最重要还比**便宜。。。,5
63,就是价格太贵了一点，没有什么玩的，喜欢自然森林的可以去、都是爬山,3
64,不好玩 玻璃一点也不吓人 只是 摇摇晃晃 带孩子去的话不推荐 两大一小 花了五百多 三个小时不到就走完了 洞没去 说来回差不多5个小时 基本没人去 照片最吓人 小的看不见,3
65,很方便换取，刺激，好玩,5
66,美不胜收，值得你拥有。,5
67,同程买票还是挺方便的，直接过去到窗口领票。但是里面除了玻璃栈道就是等于爬山。有点无趣。玻璃桥真正也就20来米吧，不是特别刺激。去过这里就真的很想去张家界去看看。,3
68,风景不错，天门山洞值得上去的，爬上去累**了，上面烧开水都是用柴火烧的,5
69,国庆节去玩的，门票价格合理，玩的很开心。,5
70,好玩，特别是玻璃栈道很刺激,5
71,真心不建议今年去，7~8公里都是修路，非常难开，这种路真心发现底盘不够高多伤不起了。带10岁以下孩子的也不建议去。门票上画着密密麻麻的景点，其实并没什么看点，设施几乎没有，密集的楼梯很考验体力，全程下来要4-5小时，大部分时间都在深山上楼梯，下楼梯，走路😢。比较原始的爬山，水很清澈，就是蚊虫太多太多了！,3
72,景区的原来路坏了，绕了一点路才到。景点有点远，并且台阶很陡，体力不好的人走一圈有难度。风景还是很不错的。,5
73,那个路呀，快快修复，开的我们小伙伴都好心疼车车的轮胎。那个景区呀，全程走了5个小时，居然没有一处有卖水的，口渴得不得了。还有园区内景点的维护，指示牌的美化…都需要进一步整改提高完善。,5
74,周末去爬爬天门山，真的很不错，天门山的风景也不错，不仅有地下河，芦葫瀑布也很美，到了山顶，天门也很美。听说，上面的庙求签很灵，当然，我也求了一张，呵呵！,5
75,那个路呀，快快修复，开的我们小伙伴都好心疼车车的轮胎。那个景区呀，全程走了5个小时，居然没有一处有卖水的，口渴得不得了。还有园区内景点的维护，指示牌的美化…都需要进一步整改提高完善。,5
76,。怎么说呢。景色很好，尤其是天门洞，远看近看的感觉是不一样的，山不高，但很俊，水不深但很清，都说水至清者无鱼，但还是看到了几条小鱼。再清清的浅水里嬉戏。美中不足的是，整个景区就我们俩人，没有看到第三个人，清净极了，玩到最后都是单张照，连个合影都没有。下得山来走到大门口，才看到一个工作人员，服务社也是关门的，好在这唯一一个工作人员，特热心，把保安自己预存的方便面卖给我俩，给我们烧了壶开水，一人一碗方便面，,5
77,自驾游临时改道，前往天门山景点，途中用手机网上订购门票，到达景区取票方便，该景点的确很美，有两条游玩的线路，一条费力的登山道，另一条轻松的天河路，下次还会去游玩。,5
78,天门山景点很大，水很清。真是不错😄,5
79,沿着溪上去的，一路顺着小溪走，这段比较好走。不过后半段没有小溪，全是台阶，体力不好可上去哦。山确实很高，但风景较少，走起来累。景区小卖部很少，有点贵。各景点有点远，并且台阶很陡，山很高，要体力好才行。景区投入还要加强，有些路没有修补。不少倒树没有移走。,5
80,天门山景区的风景优美，但是因为进入景区的路还在修，非常的难走。漂流点没有运送衣服等服务，漂流后还得全身湿渌渌的打个20元的摩托车返回到起漂点去取衣物，再回到终点处沐浴，非常的不方便。,5
81,很不错的休闲线路，五一带亲朋好友一起去，清山绿水怡性情。,5
82,不错，就是入口很难找到，因为在修路一路上都是沙。,5
83,害**我了，景点一个人也没有。在修路！,0
84,景区风景优美，就是从高速路口到景区的道路太差。,5
85,天门山景区兑换票比较方便值得一去,5
86,很好。景色很美，值得一去。,3
87,景点不错，不过路比较难走在修路。,5
88,漂流很赞！还想再去！水足的时候很刺激！,5
89,整体还可以吧，就是那个水连宫，地图位置有错,5
90,风景可以，第四次去了，路太差就是了额,5
91,中午才到景区，才发现景区很大，想玩一圈下来还是要早上早点来玩比较好。下回一定要玩一圈下来，补足没游玩过的景点,5
92,不错山清水秀。只是在修理，一年后再来会更好,5
93,到售票窗口下的订单，一张便宜了5元，很不错。天门山景色很好，就是走一圈下来太累了,5
94,交通比较方便，周围的环境也还不错，价格比较合适，性价比比较高，周末和朋友一起去逛逛还是很不错的，推荐一下吧,5
95,服务很好。。。。进景区的公路太烂。。。景色不错。。。,5
96,网上订购速度很快验证码差不多在售票处等了1分钟，可惜早上天公不作美，下起了毛毛雨，一会进景区就天晴，总体来说不错。,5
97,景区设施完善，上下山强度还是挺大的，用8个小时（含用餐时间）把景区走遍，很有收获！,5
98,小长假合家出游的好地方，景区有难易两条线，如果往天门洞走强度比较大，沿着溪流走栈道通往地下河，休闲游，空气清新景色宜人，溪水潺潺，沿途春花浪漫，取山泉水泡茶无比惬意。,5
99,本来预计只要二三个小时的路程，最后天气好，所有景点都玩过。花了快六个小时了。,5
100,去的那天太迟了，导致没有看到天门山顶，但是与一班朋友烧烤，很美味。。。。心情也不错哦，建议大家也可以一试,5
